Notice Type,Community,Notice ID,Address,Description,Conditions,Approval Type,Meeting Date,Decision,Search DMIS,In Date,Order Date,Ward,Neighbourhood,Location,Roll Number,Appeal Date,Report/Plan URL,Point,Plain Language,Wards,Neighborhoods,Zip Codes,Electoral Ward 2018
CONDITIONAL USE,Assiniboia,17-111199/B,195 Old Mill RD,For a Conditional Use under Zoning By-Law No. 200/2006 to permit a tailor providing a personal service on the premises with a maximum of two (2) non-resident employees to establish as a home-based business.,"1) That the hours of operation on the premises shall be limited to between 9:00 a.m. and 5:00 p.m. Monday to Friday and 10:00 a.m. and 4:00 p.m. Saturday, inclusive.
2) That, the operator(s) of the home-based business must be a resident(s) of the dwelling where the home-based business is conducted.
3) That the home-based business granted by this order shall operate by appointment only, with a maximum of one (1) client on the premises at a time.
4) That, there shall be no non-resident employees on the premises at any time.
5) That, the total floor area occupied by the home-based business shall not exceed 25% of the total gross floor area of the dwelling or 800 square feet, whichever is less.
6) That, signage shall be limited to one (1) non-illuminated identification sign, maximum 2 square feet (0.186 square metres) in area attached to and parallel with the wall of the principal building.
5) That any advertisements for the home-based business shall state ""by appointment only"".
6) That the conditional use granted by this order to permit a tailor providing a personal service on the premises shall terminate on March 16, 2019.",Internal,,Approved in Part,,23/02/2017,17/03/2017,St. James,Birchwood,"(49.87701549489586, -97.26998276375001)",7075794000,,,POINT (-97.26998276375001 49.87701549489586),,13,216,,4
VARIANCE,City Centre,17-111341/B,833 Jubilee AVE,"To vary the ""R1-M"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of an addition to a single family dwelling to permit a front yard of 33.7 feet (10.27 metres) instead of 40 feet (12.19 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the addition shall be constructed in accordance with the plans submitted and shown on sheets 1 to 4 of DAV 17-111341/B.",Internal,,Approved with Condition(s),,24/02/2017,07/03/2017,Fort Rouge - East Fort Garry,Lord Roberts,"(49.85465759050998, -97.14614221568301)",12001583000,,,POINT (-97.14614221568301 49.85465759050998),,6,99,,15
VARIANCE,Riel,17-111389/C,195 Bertrand ST,"To vary the ""R2"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a two-family dwelling to permit a lot area per dwelling unit of 1515 square feet (140.74 square metres) instead of 2500 square feet (232.25 square metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,17/05/2017,,,24/02/2017,19/05/2017,St. Boniface,Central St. Boniface,"(49.88444435809865, -97.1199053547069)",6070533000,06/08/2017 12:00:00 AM,,POINT (-97.1199053547069 49.88444435809865),,8,178,,13
VARIANCE,Assiniboia,17-111651/B,72 Marygrove CRES,"To vary the ""R1-M"" Dimensional Standards of Zoning By-Law No. 200/2006 for the construction of a one storey sunroom addition to a single family dwelling to permit a rear yard of 16.5 feet (5.03 metres) instead of 25 feet (7.62 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the sunroom addition to the single-family dwelling shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 5 to DAV 17-111651/B.",Internal,,Approved with Condition(s),,27/02/2017,22/03/2017,Waverley West,Whyte Ridge,"(49.81703466149796, -97.2000387138732)",3066597300,,,POINT (-97.2000387138732 49.81703466149796),,15,75,,7
VARIANCE,Riel,17-111769/B,127 Tache AVE,"To vary the ""R1-M"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a covered deck addition to the rear of a single family dwelling to permit the following:
1) a north side yard of 1.25 feet (0.38 metres) instead of 4 feet (1.22 metres);
2) a north side yard eave projection of 1.0 feet (0.30 metres) instead of 0.42 feet (0.13 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the addition to the single family dwelling, shall be constructed in substantial conformance with plans submitted and identified as Sheets 1 & 2 of DAV 17-111769/B.
3) That, the covered rear deck shall remain unenclosed on three (3) sides, except for supporting posts and railings.",Internal,,Approved with Condition(s),,27/02/2017,16/03/2017,St. Boniface,Norwood West,"(49.87558672649164, -97.12353595705855)",6090571000,,,POINT (-97.12353595705855 49.87558672649164),,8,179,,13
CONDITIONAL USE,Lord Selkirk-West Kildonan,17-111780/C,748 Keewatin ST,For a Conditional Use under Zoning By-Law No. 200/2006 for the establishment of an Elementary or Junior High School Use.,,Meeting,05/04/2017,,,27/02/2017,10/04/2017,Point Douglas,Tyndall Park,"(49.934571754090115, -97.19583545493836)",14097504200,04/27/2017 12:00:00 AM,,POINT (-97.19583545493836 49.934571754090115),,12,127,,1
VARIANCE,Riel,17-111844/B,103 Waterfront RD,"To vary the ""R1-M"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a covered front porch addition to a single family dwelling to permit a front yard of 9 feet (2.74 metres) instead of 20 feet (6.10 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the covered front porch addition to the single family dwelling, shall be constructed in substantial conformance with plans submitted and identified as Sheets 1 to 5 of DAV 17-111844/B.",Internal,,Approved with Condition(s),,28/02/2017,20/03/2017,St. Boniface,Island Lakes,"(49.84003181472706, -97.0603168349902)",6004024400,,,POINT (-97.0603168349902 49.84003181472706),,8,208,,13
VARIANCE,Riel,17-111935/B,51 River Valley DR,"To vary the ""R1-M"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a three season sunroom addition to a single family dwelling to permit a rear yard of 19 feet (5.79 metres) instead of 25 feet (7.62 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the addition to the single family dwelling, shall be constructed in substantial conformance with plans submitted and identified as Sheets 1 to 3 of DAV 17-111935/B.",Internal,,Approved with Condition(s),,28/02/2017,16/03/2017,St. Vital,Royalwood,"(49.82865770999892, -97.07803045898797)",6093182600,,,POINT (-97.07803045898797 49.82865770999892),,8,210,,10
VARIANCE,Assiniboia,17-111941/C,363 Inglewood ST,"To vary the ""R1-M PDO-1 Airport Vicinity Protection Area"" dimensional standards of Zoning By-Law No. 200/2006 as follows: 
1) For the establishment of two residential building lots to permit:
  a) lot areas of 2521 square feet (234.2 square metres) instead of 3500 square feet (325.2 square metres)
  b) lot widths of 24.98 feet (7.61 metres) instead of 25 feet (7.62 metres)
2) For the construction of a single family dwelling on Lot 11 to permit a south side yard of 2 feet (0.61 metres) instead of 3 feet (0.91 metres).            
3) For the construction of a single family dwelling on Lot 12 to permit a north side yard of 2 feet (0.61 metres) instead of 3 feet (0.91 metres).","1)That, no front driveway approach shall be permitted.
2)That, there shall be no new garages constructed attached to any principal dwelling on the subject property. 
3)That, any principal dwelling located on the subject properties shall provide an entrance on the building elevation facing the front yard. 
4)That, the development shall be in substantial conformance with the plans submitted and attached hereto and identified as Sheet 2 of 8 and  Sheet 6 of 8 for File No. DAV 17-111941\C, dated March 14, 2017.",Meeting,05/04/2017,,,28/02/2017,08/05/2017,St. James,King Edward,"(49.88498475843706, -97.21916943411404)",7569136400,05/25/2017 12:00:00 AM,,POINT (-97.21916943411404 49.88498475843706),,13,131,,4
CONDITIONAL USE,East Kildonan-Transcona,17-112199/B,346 Chelsea AVE,"For a Conditional Use under Zoning By-Law No. 200/2006 to permit a massage therapist providing a personal service on the premises to maintain as a home-based business previously approved under DCU 15-107291 until March 15, 2017.","1) That the hours of operation on the premises be limited to between 9:00 a.m. and 8:00 p.m. 
     Monday to Friday.
2) The operator of the home-based business must be resident of the dwelling unit where the 
     home-based business is being conducted.
3) That the home-based business granted by this order shall operate by appointment only, with a 
    maximum of one (1) customer on the premises at a time.
4) That there shall be no non-resident employees on the premises.
5) That the Conditional Use granted by this Order to permit a massage therapist providing a 
    personal service as a home-based business on the premises shall terminate on April 15, 2022.",Internal,,Approved with Condition(s),,01/03/2017,24/03/2017,Elmwood - East Kildonan,Munroe West,"(49.923790560891035, -97.09912618121224)",2010738000,,,POINT (-97.09912618121224 49.923790560891035),,1,112,,2
VARIANCE,Lord Selkirk-West Kildonan,17-112262/B,351 Hartford AVE,"To vary the ""R1-M"" Dimensional Standards of Zoning By-Law No. 200/2006 as follows: 
1) for the establishment of two (2) residential lots to permit lot areas of 3283.5 square feet (305.0 square metres) instead of 3500 square feet (325.2 square metres) and;
2) for the construction of a single family dwelling on each new lot to permit a rear yard of 23.5 feet (7.16 metres) instead of 25 feet (7.62 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, there shall be no new garages constructed attached to any principal dwelling on each lot.
3) That, no front driveway approach shall be permitted on the subject properties.
4) That, the applicant shall, at no expense to the City of Winnipeg, remove the existing private approach to Hartford Avenue and restore the boulevard as determined by and to the satisfaction of the Director of Public Works.
4) That, any principal dwelling located on the subject properties shall provide an entrance on the building elevation facing the front street.
5) That , the two (2) lots shall be developed and the proposed single-family dwelling on each proposed lot shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 10 to DAV 17-112262/B.",Internal,,Approved with Condition(s),,01/03/2017,27/03/2017,Mynarski,Jefferson,"(49.938788279786664, -97.12535778406553)",,,,POINT (-97.12535778406553 49.938788279786664),,4,102,,8
VARIANCE,Assiniboia,17-112310/B,4 Peregrine PT,"To vary the ""R1-M"" Dimensional Standards of Zoning By-Law No. 200/2006 for the construction of a single family dwelling and attached garage to permit a rear yard of 16.5 feet (5.03 metres) instead of 25 feet (7.62 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the single-family dwelling and attached garage shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 5 to DAV 17-112310/B.",Internal,,Approved with Condition(s),,01/03/2017,31/03/2017,Charleswood - Tuxedo - Westwood,Ridgewood South,"(49.845932127506934, -97.31866274097248)",1009601525,,,POINT (-97.31866274097248 49.845932127506934),,15,77,,6
CONDITIONAL USE,City Centre,17-112371/B,701 Dudley AVE,For a Conditional Use under Zoning By-Law No. 200/2006 to permit a reflexologist providing a personal service on the premises to establish as a home-based business.,"1)  That the hours of operation on the premises shall be limited to between 9:00 a.m. to 5:00 p.m. Tuesday to Friday and 10:00 a.m. to 3:00 p.m. Saturday, inclusive.
2) That, the operator of the home-based business must be a resident of the dwelling where the home-based business is conducted.
3)  That the home-based business granted by this order shall operate by appointment only, with a maximum of one (1) client on the premises at a time.
4) That, there shall be no non-resident employees on the premises.
5) That any advertisements for the home-based business shall state ""by appointment only"".
6) That the conditional use granted by this order to permit a reflexologist providing a personal service on the premises shall terminate on April 18, 2019.",Internal,,Approved with Condition(s),,01/03/2017,19/04/2017,Fort Rouge - East Fort Garry,Earl Grey,"(49.866531979426306, -97.15051082587003)",12020154000,,,POINT (-97.15051082587003 49.866531979426306),,6,20,,15
VARIANCE,Lord Selkirk-West Kildonan,17-112375/B,18 Heronswood PATH,"To vary the ""R1-M"" Dimensional Standards of Zoning By-Law No. 200/2006 for the construction of an open deck to a single-family dwelling and attached garage to permit a rear yard of 22 feet (6.7 metres) instead of 25 feet (7.62 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the deck shall remain open and unenclosed except for a railing.
3) That, the open deck shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 4 to DAV 17-112375/B.",Internal,,Approved with Condition(s),,01/03/2017,13/04/2017,Point Douglas,Inkster Gardens,"(49.959398051593595, -97.19783052949434)",14100122850,,,POINT (-97.19783052949434 49.959398051593595),,12,130,,1
VARIANCE,Assiniboia,17-112405/C,364 Roseberry ST,"To vary the ""R1-M PDO-1 Airport Vicinity Protection Area"" dimensional standards of Zoning By-Law No. 200/2006 for the establishment of two residential zoning lots to permit lot areas of 2712.5 square feet (252.0 square metres) instead of 3500 square feet (325.2 square metres).","1) That, no front driveway approach shall be permitted.
2) That, there shall be no new garages constructed attached to any principal dwelling on the subject property. 
3) That, any principal dwelling located on the subject properties shall provide an entrance on the building elevation facing the front yard. 
4) That, the development shall be in substantial conformance with the plans submitted and attached hereto and identified  as Sheets 1 through 4 for File No. DAV 17-112405/C, dated March 9, 2017.",Meeting,19/04/2017,,,01/03/2017,24/04/2017,St. James,King Edward,"(49.88509980252353, -97.21620547170522)",,05/11/2017 12:00:00 AM,,POINT (-97.21620547170522 49.88509980252353),,13,131,,4
VARIANCE,Assiniboia,17-112410/C,374 Roseberry ST,"To vary the ""R1-M PDO-1 Airport Vicinity Protection Area"" dimensional standards of Zoning By-Law No. 200/2006 for the establishment of two residential zoning lots to permit lot areas of 2712.5 square feet (252.0 square metres) instead of 3500 square feet (325.2 square metres).","1)That, no front driveway approach shall be permitted.
2)That, there shall be no new garages constructed attached to any principal dwelling on the subject property. 
3)That, any principal dwelling located on the subject properties shall provide an entrance on the building elevation facing the front yard. 
4)That, each new dwelling constructed shall be distinctly different in terms of the design, and incorporate a balance of varying materials and colours into the front façade.
5)That, for the development of any building, plans showing the location and design of proposed buildings shall be submitted to the Director of Planning, Property and Development for plan approval prior to the issuance of any building or development permits, and thereafter all to be constructed to the satisfaction of the Director of Planning, Property and Development.",Meeting,19/04/2017,,,01/03/2017,24/04/2017,St. James,King Edward,"(49.885397881736715, -97.21617784976159)",,05/11/2017 12:00:00 AM,,POINT (-97.21617784976159 49.885397881736715),,13,131,,4
VARIANCE,Assiniboia,17-112411/C,378 Roseberry ST,"To vary the ""R1-M PDO-1 Airport Vicinity Protection Area"" dimensional standards of Zoning By-Law No. 200/2006 for the establishment of two residential zoning lots to permit lot areas of 2712.5 square feet (252.0 square metres) instead of 3500 square feet (325.2 square metres).","1) That, no front driveway approach shall be permitted.
2) That, there shall be no new garages constructed attached to any principal dwelling on the subject property. 
3) That, any principal dwelling located on the subject properties shall provide an entrance on the building elevation facing the front yard. 
4) That, the development shall be in substantial conformance with the plans submitted and attached hereto and identified  as Sheets 1 through 4 for File No. DAV 17-112411/C, dated March 9, 2017.",Meeting,19/04/2017,,,01/03/2017,24/04/2017,St. James,King Edward,"(49.88553467874743, -97.2161651488951)",,05/11/2017 12:00:00 AM,,POINT (-97.2161651488951 49.88553467874743),,13,131,,4
VARIANCE,City Centre,17-112603/B,7 Ruskin ROW,"To vary the ""R1-L"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a second storey addition to an existing single-family dwelling and attached garage to permit as follows:
a) a front yard on Ruskin Row of 24 feet (7.32 metres) instead of 60 feet (18.29 metres);
b) a rear yard of 15 feet (4.57 metres) instead of 25 feet (7.62 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the addition to the existing single-family dwelling and attached garage shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 4 to DAV 17-112603/B.",Internal,,Approved with Condition(s),,02/03/2017,07/03/2017,River Heights - Fort Garry,Crescentwood,"(49.87229118609609, -97.16041495271034)",12040140000,,,POINT (-97.16041495271034 49.87229118609609),,5,7,,14
CONDITIONAL USE,City Centre,17-112762/C,690 Langside ST,For a Conditional Use under Zoning By-Law No. 200/2006 to  permit the establishment of a Multi-Family Dwelling.,,Meeting,19/04/2017,,,03/03/2017,24/04/2017,Daniel McIntyre,Spence,"(49.899028162759386, -97.15588658297831)",13096178600,05/11/2017 12:00:00 AM,,POINT (-97.15588658297831 49.899028162759386),,3,59,,5
VARIANCE,City Centre,17-112763/C,690 Langside ST,"To vary the ""R2"" dimensional standards of Zoning By-Law No. 200/2006 as follows: 
1) for the construction of a multi-family dwelling to permit a front yard of 15 feet (4.57 metres) instead of 18 feet (5.49 metres);
2) for the establishment of an accessory parking area to permit as follows:
  a) parking directly off a street instead of an aisle or driveway;
  b) parking spaces within 10 feet of a window to a habitable room where the sill is located 5 feet or less from grade.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,19/04/2017,,,03/03/2017,24/04/2017,Daniel McIntyre,Spence,"(49.899028162759386, -97.15588658297831)",13096178600,05/11/2017 12:00:00 AM,,POINT (-97.15588658297831 49.899028162759386),,3,59,,5
VARIANCE,City Centre,17-112766/B,416 Niagara ST,"To vary the ""R1-M"" (PDO-1 Airport Vicinity Protection Area) Dimensional Standards of Zoning By-Law No. 200/2006 for the construction of a gazebo addition to an existing detached garage/carport to permit a total combined lot coverage of 14.6% instead of 12.5%.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the proposed gazebo addition to the existing detached garage/carport shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 3 to DAV 17-112766/B.",Internal,,Approved with Condition(s),,03/03/2017,30/03/2017,River Heights - Fort Garry,North River Heights,"(49.86651669795956, -97.1853724460533)",12052774000,,,POINT (-97.1853724460533 49.86651669795956),,5,162,,14
VARIANCE,City Centre,17-112838/B,789 Niagara ST,"To vary the ""R1-M"" (PDO-1 Airport Vicinity Protection Area) Dimensional Standards of Zoning By-Law No. 200/2006 for the construction of a detached garage to permit a lot coverage of 15.6% instead of 12.5%.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That, the detached garage shall be built in substantial conformance with plans submitted and identified as Sheets 1 to 2 to DAV 17-112838/B.",Internal,,Approved with Condition(s),,03/03/2017,29/03/2017,River Heights - Fort Garry,South River Heights,"(49.85388105644607, -97.1872383690585)",12052319000,,,POINT (-97.1872383690585 49.85388105644607),,5,19,,14
DEMO,City Centre,17-113207,252 Good ST,"Intention to demolish a dwelling without a building permit for construction of a new building, or renovation of the existing building, or the establishment of some other permitted use being completed within one year, in the case of a one or two family dwelling and in other cases, two years, from the date of commencement of the demolition as required, under Part 3, Section 6 of By-Law No. 160/2011.",,Meeting,13/04/2017,,http://clkapps.winnipeg.ca/dmis/DocExt/Search.asp?QuickSearch=17-113207,06/03/2017,20/04/2017,Fort Rouge - East Fort Garry,West Broadway,"(49.88792249390316, -97.1522543070703)",12091162000,05/09/2017 12:00:00 AM,,POINT (-97.1522543070703 49.88792249390316),,6,228,,15
VARIANCE,City Centre,17-113330/C,1030 Edderton AVE,"To vary the Special Boundary Conditions of Zoning By-Law No. 200/2006 for the establishment of two residential lots to permit as follows:
  a) a lot width of 32.5 feet (9.91 metres) instead of 49.15 feet (14.98 metres)
  b) a lot area of 3266.25 square feet (303.4 square metres) instead of 6165 square feet (572.7 square metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,03/05/2017,,,07/03/2017,08/05/2017,River Heights - Fort Garry,Beaumont,"(49.849041887715636, -97.15512972159615)",,05/25/2017 12:00:00 AM,,POINT (-97.15512972159615 49.849041887715636),,5,225,,14
VARIANCE,City Centre,17-113414/C,183 River AVE,"To vary the ""C2"" dimensional standards of Zoning By-Law No. 200/2006 for the establishment of a parking area, accessory to an office to permit access directly from a public lane instead of an aisle or driveway.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,05/04/2017,,,07/03/2017,10/04/2017,Fort Rouge - East Fort Garry,River-Osborne,"(49.88289696623241, -97.13610227658971)",12032281000,04/27/2017 12:00:00 AM,,POINT (-97.13610227658971 49.88289696623241),,6,57,,15
VARIANCE,East Kildonan-Transcona,17-113498/B,155 Irving PL,"To vary the ""R1-L"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of a single family dwelling and attached garage to permit as follows:
1) a rear yard of 17.5 feet (5.33 metres) instead of 25 feet (7.62 metres) 
2) a front yard of 14 feet (4.27 metres) instead of 20 feet(6.10 metres).","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.  
2) That, the new single family dwelling shall be constructed in substantial conformance with the plans submitted and shown on sheets 1 to 8 of DAV 17-113498/B",Internal,,Approved with Condition(s),,07/03/2017,10/04/2017,North Kildonan,Kildonan Drive,"(49.94325962537058, -97.0921049412917)",4006999000,,,POINT (-97.0921049412917 49.94325962537058),,10,4,,9
VARIANCE,City Centre,17-113869/C,1714 Pembina HWY,To vary the Special Yard Requirements of Zoning By-Law No. 200/2006 for the erection of a free standing sign to permit a front yard of 9 feet (2.74 metres) instead of 20 feet (6.10 metres).,"1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,05/04/2017,,,08/03/2017,10/04/2017,River Heights - Fort Garry,Pembina Strip,"(49.82796649185653, -97.15124967606748)",3080030500,04/27/2017 12:00:00 AM,,POINT (-97.15124967606748 49.82796649185653),,5,226,,14
VARIANCE,Lord Selkirk-West Kildonan,17-113971/C,681-683 Selkirk AVE,"To vary the ""C2 PDO-1 Neighbourhood Main Streets"" dimensional standards of Zoning By-Law No. 200/2006 as follows: 
1) for the construction of a day care centre to permit:
a) a rear yard of 20 feet (6.10 metres) instead of 25 feet (7.62 metres);
b) 2 parking stalls instead of 4 parking stalls;
2) for the establishment of an accessory parking area to permit parking directly off a lane instead of an aisle or driveway.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,19/04/2017,,,09/03/2017,24/04/2017,Mynarski,William Whyte,"(49.91812370361432, -97.15190368518789)",,05/11/2017 12:00:00 AM,,POINT (-97.15190368518789 49.91812370361432),,4,138,,8
CONDITIONAL USE,Lord Selkirk-West Kildonan,17-114035/C,500 Salter ST,For a Conditional Use under Zoning By-Law No. 200/2006 to permit the expansion of a library use.,,Meeting,03/05/2017,,,09/03/2017,08/05/2017,Mynarski,St. John's,"(49.92557253155849, -97.13320147225683)",14042598000,05/25/2017 12:00:00 AM,,POINT (-97.13320147225683 49.92557253155849),,4,121,,8
VARIANCE,Lord Selkirk-West Kildonan,17-114037/C,500 Salter ST,"To vary the ""R2"" dimensional standards of Zoning By-Law No. 200/2006 for the construction of two additions to an existing library to permit as follows:
1) a front yard of 11.5 feet (3.51 metres) instead of 20 feet (6.10 metres);
2) a west side yard of 4 feet (1.22 metres) instead of 25 feet (7.62 metres);
3) an east corner side yard of 12.25 feet (3.73 metres) instead of 25 feet (7.62 metres);
4) a rear yard of 13.27 feet (4.04 metres) instead of 25 feet (7.62 metres);
5) a lot coverage of 63.7% instead of 50%;
6) no additional parking instead of 1 space.","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,03/05/2017,,,09/03/2017,08/05/2017,Mynarski,St. John's,"(49.92557253155849, -97.13320147225683)",14042598000,05/25/2017 12:00:00 AM,,POINT (-97.13320147225683 49.92557253155849),,4,121,,8
CONDITIONAL USE,City Centre,17-114132/B,674 Victor ST,For a Conditional Use under Zoning By-Law No. 200/2006 to permit a hair stylist providing a personal service on the premises to establish as a home-based business.,"1) That the hours of operation on the premises be limited to between 10:00 a.m. and 3:00 p.m. Monday to Friday inclusive.
2) The operator of the home-based business must be a resident of the dwelling where the home-based business is being conducted.
3) That the home-based business granted by this order shall operate by appointment only, with a maximum of one (1) customer on the premises at a time.
4) That there shall be no non-resident employees on the premises.
5) That, any advertising of the home-based business shall indicate ""by appointment only"".
5) That the Conditional Use granted by this Order to permit a hair stylist providing a personal service as a home-based business on the premises shall terminate on April 18, 2019.",Internal,,Approved with Condition(s),,09/03/2017,19/04/2017,Daniel McIntyre,Daniel McIntyre,"(49.8985201962082, -97.16301717173569)",13040742000,,,POINT (-97.16301717173569 49.8985201962082),,3,29,,5
VARIANCE,Assiniboia,17-114366/C,325 Park East DR,"To vary the ""RMF-L"" dimensional standards of Zoning By-Law No. 200/2006 as follows:
1) for the construction of 4 multi-family dwelling buildings to permit:
  a)  a front yard (Park East Drive) of 5 feet (1.52 metres) instead of 25 feet (7.62 metres);
  b) a west corner side yard of 5 feet (1.52 metres) instead of 20 feet (6.10 metres);
  c) an east side yard of 5 feet (1.52 metres) instead of 12 feet (3.66 metres);
  d) a rear yard (South Town Road) of 5 feet (1.52 metres) instead of 25 feet (7.62 metres);
2) for the establishment of an accessory parking area to permit:
  a) a front yard (Park East Drive) of 5 feet (1.52 metres) instead of 25 feet (7.62 metres);
  b) a north side yard of 5 feet (1.52 metres) instead of 8 feet (2.43 metres);
  c) 165 parking stalls instead of 180 parking stalls;
3) for the establishment of a garbage enclosure to permit  a north side yard of 5 feet (1.52 metres) instead of 8 feet (2.43 metres)","1) That, if any variance granted by this order is not established within two (2) years of the date hereof, this order, in respect of that Variance shall terminate.
2) That final plans, showing the location and details of landscaping, fencing, signage, and garbage enclosures, shall be submitted to the Board of Adjustment and the Director of Planning, Property and Development for approval prior to the issuance of any development or building permits; and thereafter shall be maintained to the satisfaction of the Director of Planning, Property and Development.",Meeting,19/04/2017,,,10/03/2017,24/04/2017,Waverley West,Bridgwater Centre,"(49.79184552389497, -97.19638061541426)",3093005280,05/11/2017 12:00:00 AM,,POINT (-97.19638061541426 49.79184552389497),,7,230,,7
CONDITIONAL USE,Assiniboia,17-114495/B,298 Belvidere ST,"For a Conditional Use under Zoning By-Law No. 200/2006 to permit a massage therapist providing a personal service on the premises to maintain as a home-based business previously approved under DCU 12-102419/B until March 31, 2017.","1) That, the hours of operation at the premises shall be limited to between 9:00 am and 9:00 pm Monday to Friday and 9:00 a.m. to 6:00 p.m. Saturday inclusive.
2) That, the operator of the home-based business must be a resident of the dwelling where the home-based business is conducted.
3)  That the home-based business granted by this order shall operate by appointment only, with a maximum of one (1) client on the premises at a time.
4) That, there shall be no non-resident employees on the premises.
5) That any advertisements for the home-based business shall state ""by appointment only"".
6) That the conditional use granted by this order to permit a massage therapist providing a personal service on the premises shall terminate on March 31, 2027.",Internal,,Approved with Condition(s),,10/03/2017,24/03/2017,St. James,Deer Lodge,"(49.881115471886694, -97.23319024613998)",7051398000,,,POINT (-97.23319024613998 49.881115471886694),,13,165,,4
